"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/messages",241,210,230,260,270,330,410,670,700,1300
"POST /api/messages",247,210,240,270,290,340,420,600,950,1400
"Total",488,210,230,260,280,340,420,640,950,1400
