"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/messages",5926,4500,5600,6900,7700,8800,9300,11000,11000,14000
"POST /api/messages",6244,1100,2800,4200,5000,6100,7000,8100,9000,12000
"Total",12170,3000,4600,5400,6000,7900,8900,9700,11000,14000
