"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"GET /api/messages",10481,5100,5100,5200,5200,6100,9200,14000,17000,22000
"POST /api/messages",11148,5100,5200,5200,5300,8600,10000,15000,18000,22000
"Total",21629,5100,5100,5200,5200,7600,9900,15000,17000,22000
